               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070635,             0.14386,            0.020514,           0.0016329,            0.024108,            0.000848,          0.00017826,             0.10146,             0.23963,            0.020929,            0.070008,           0.0033324,           0.0033324
                   1,            0.056666,             0.13956,            0.016084,           0.0015477,            0.022542,          0.00080528,           0.0001599,             0.10204,             0.24792,            0.020638,            0.039942,           0.0065998,           0.0065998
                   2,            0.053712,             0.13657,            0.015383,           0.0019244,            0.028045,           0.0010112,          0.00021796,             0.10335,             0.24932,            0.020722,           0.0098101,           0.0098011,           0.0098011
                   3,            0.051497,             0.13414,            0.014914,           0.0023107,            0.032106,           0.0012155,          0.00026639,             0.10265,             0.25524,            0.020876,            0.009703,            0.009703,            0.009703
                   4,            0.049847,             0.13197,            0.014411,           0.0020791,            0.028201,           0.0010922,           0.0002251,             0.10284,             0.25893,            0.020703,            0.009703,            0.009703,            0.009703
                   5,            0.048927,             0.13067,             0.01411,           0.0019553,            0.026904,           0.0010223,           0.0002172,             0.10348,             0.25706,            0.021169,            0.009604,            0.009604,            0.009604
                   6,            0.048294,             0.12904,            0.013926,           0.0022415,            0.030326,           0.0011771,          0.00025999,             0.10192,             0.26988,            0.020937,            0.009505,            0.009505,            0.009505
                   7,            0.047759,             0.12816,            0.013724,           0.0021306,            0.028472,           0.0011163,          0.00023802,             0.10248,             0.26982,             0.02104,            0.009406,            0.009406,            0.009406
                   8,            0.047395,             0.12784,            0.013555,           0.0021584,            0.028361,            0.001136,          0.00024566,             0.10264,             0.27042,            0.021067,            0.009307,            0.009307,            0.009307
                   9,            0.046996,             0.12721,            0.013392,           0.0022316,            0.028916,           0.0011704,          0.00026036,             0.10303,             0.27046,            0.020977,            0.009208,            0.009208,            0.009208
                  10,            0.046809,             0.12723,             0.01332,           0.0022399,            0.028606,           0.0011752,          0.00025828,              0.1027,             0.27482,            0.020869,            0.009109,            0.009109,            0.009109
                  11,             0.04635,             0.12519,            0.013218,           0.0022432,            0.028528,           0.0011807,          0.00025942,             0.10266,             0.27606,            0.021093,             0.00901,             0.00901,             0.00901
                  12,            0.046199,             0.12497,            0.013053,           0.0022748,            0.029056,           0.0011965,          0.00026275,             0.10223,             0.27877,            0.021034,            0.008911,            0.008911,            0.008911
                  13,            0.045932,             0.12446,            0.013052,           0.0022272,            0.028146,           0.0011701,          0.00025709,             0.10237,             0.28054,            0.021004,            0.008812,            0.008812,            0.008812
                  14,            0.045872,             0.12452,            0.012938,           0.0022187,             0.02793,           0.0011657,           0.0002534,             0.10231,             0.28166,            0.020941,            0.008713,            0.008713,            0.008713
                  15,            0.045775,             0.12477,            0.012875,           0.0022068,             0.02779,            0.001158,          0.00025073,             0.10228,             0.28243,            0.020943,            0.008614,            0.008614,            0.008614
                  16,            0.045499,              0.1237,             0.01281,           0.0022193,            0.027922,           0.0011659,          0.00025181,             0.10222,             0.28337,            0.020937,            0.008515,            0.008515,            0.008515
                  17,            0.045342,             0.12354,            0.012705,           0.0022282,            0.027976,           0.0011714,          0.00025495,             0.10219,             0.28395,            0.020973,            0.008416,            0.008416,            0.008416
                  18,            0.045072,             0.12307,            0.012652,           0.0022359,            0.027998,           0.0011747,          0.00025493,             0.10218,             0.28436,            0.020984,            0.008317,            0.008317,            0.008317
                  19,            0.044893,             0.12221,            0.012588,           0.0022263,            0.027773,           0.0011694,          0.00025204,             0.10219,             0.28476,            0.020985,            0.008218,            0.008218,            0.008218
                  20,              0.0449,             0.12252,            0.012538,           0.0022133,            0.027603,           0.0011625,          0.00025247,             0.10214,              0.2852,            0.020993,            0.008119,            0.008119,            0.008119
                  21,            0.044738,             0.12213,            0.012526,           0.0022102,            0.027591,           0.0011604,          0.00025099,             0.10209,             0.28561,            0.020989,             0.00802,             0.00802,             0.00802
                  22,            0.044713,             0.12224,            0.012488,           0.0022176,            0.027651,           0.0011642,          0.00025009,             0.10207,             0.28575,            0.021004,            0.007921,            0.007921,            0.007921
